id,type,description,units,common_name,utc_min_date_time,utc_max_date_time,resolution,aggregation
61,apoaij,APOCIJ[0]+APNCOMI[1]+APNCOMJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
60,apocij,APOCI[1]+APOCJ[1],ugC/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
37,asij,ASIJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
62,aso4ij,ASO4I[1]+ASO4J[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
63,aso4k,ASO4K[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
43,asoilj,2.20*AALJ[1]+2.49*ASIJ[1]+1.63*ACAJ[1]+2.42*AFEJ[1]+1.94*ATIJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
38,atij,ATIJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
64,atoti,ASO4I[1]+ANO3I[1]+ANH4I[1]+ANAI[1]+ACLI[1]+AECI[1]+APOCI[1]+APNCOMI[1]+AOTHRI[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
65,atotj,ASO4J[1]+ANO3J[1]+ANH4J[1]+ANAJ[1]+ACLJ[1]+AECJ[1]+AOMIJ[0]-(APOCI[1]+APNCOMI[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
66,atotk,ASOIL[1]+ACORS[1]+ASEACAT[1]+ACLK[1]+ASO4K[1]+ANO3K[1]+ANH4K[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
69,aunspec1ij,PMIJ[0] - (ASOILJ[0] + ANO3IJ[0] + ASO4IJ[0] + ANH4IJ[0] + AOCIJ[0] + AECIJ[0] +,ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
71,aunspec2ij,AUNSPEC1IJ[0] - ANCOMIJ[0],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
73,benzene,1000.0*BENZENE[1],ppbV,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
74,clno2,1000.0*CLNO2[1],ppbV,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
3,co,1000.0*CO[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
102,dcv_recon,DCV_Recon[2],deciview,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
4,eth,1000.0*ETH[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
5,etha,1000.0*ETHA[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
6,form,1000.0*FORM[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
7,h2o2,1000.0*H2O2[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
8,hno3,1000.0*HNO3[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
9,hno3_ugm3,1000.0*(HNO3[1]*2.1756*DENS[2]),ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
10,hono,1000.0*HONO[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
11,hox,1000.0*(OH[1]+HO2[1]),ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
12,iole,1000.0*IOLE[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
13,isop,1000.0*ISOP[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
111,k,exp(118.87-24084/TEMP2[5]-6.025*log(TEMP2[5])),ppb^2,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
116,k_prime,(P1[0]-P2[0]*a[0]+(P3[0]*a[0]*a[0]))*(a[0]^1.75)*K[0],ppb^2,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
118,max_no3_loss,745.7/TEMP2[5]*sqrt_Ki[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
14,n2o5,1000.0*N2O5[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
15,nh3,1000.0*NH3[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
16,nh3_ugm3,1000.0*(NH3[1]*0.5880*DENS[2]),ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
17,nhx,1000.0*(NH3[1]*0.5880*DENS[2])+ANH4I[1]+ANH4J[1]+ANH4K[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
18,no,1000.0*NO[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
19,no2,1000.0*NO2[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
21,noy,1000.0*(NO[1]+NO2[1]+NO3[1]+2*N2O5[1]+HONO[1]+HNO3[1]+PAN[1]+PANX[1]+PNA[1]+NTR[,ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
22,ntr,1000.0*NTR[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
23,o3,1000.0*O3[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
75,oh,1000.0*(OH[1]),ppbV,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
24,ole,1000.0*OLE[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
112,p1,exp(8763/TEMP2[5]+19.12*log(TEMP2[5])-135.94),"",,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
113,p2,exp(9969/TEMP2[5]+16.22*log(TEMP2[5])-122.65),"",,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
114,p3,exp(13875/TEMP2[5]+24.46*log(TEMP2[5])-182.61),"",,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
26,pan,1000.0*PAN[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
